관측분야 : 지상기상관측
조회기간 : 임의기간(시별): 2014-01-01 00시 ~ 2014-12-31 23시
관측지점 : 서울(108)
출력기후요소 : 기온,강수량,풍속,해면기압,풍향

지점번호,지점,일시,기온 (℃),시간강수량 (mm),풍향 (deg),풍속 (m/s),해면기압 (hPa),원시자료
108,서울,2014-01-01 00,3.3,,250.0,3.8,1012.5,
108,서울,2014-01-01 01,2.6,,250.0,2.3,1012.9,
108,서울,2014-01-01 02,1.7,,250.0,1.7,1013.1,
108,서울,2014-01-01 03,1.4,,250.0,1.4,1012.9,
108,서울,2014-01-01 04,0.9,,270.0,2.8,1013.2,
108,서울,2014-01-01 05,0.6,,270.0,2.0,1012.8,
108,서울,2014-01-01 06,0.7,,230.0,2.3,1012.8,
108,서울,2014-01-01 07,0.7,,230.0,1.7,1013.2,
108,서울,2014-01-01 08,0.5,,230.0,1.6,1013.7,
108,서울,2014-01-01 09,1.8,,230.0,2.3,1014.3,
108,서울,2014-01-01 10,3.6,,230.0,2.9,1014.5,
108,서울,2014-01-01 11,5.4,,250.0,5.3,1014.2,
108,서울,2014-01-01 12,7.0,0.0,270.0,5.3,1013.9,
108,서울,2014-01-01 13,6.7,,270.0,7.2,1013.7,
108,서울,2014-01-01 14,7.1,,270.0,5.5,1012.9,
108,서울,2014-01-01 15,7.6,,270.0,5.2,1012.6,
108,서울,2014-01-01 16,7.6,,250.0,5.9,1012.8,
108,서울,2014-01-01 17,6.6,,250.0,5.5,1013.3,
108,서울,2014-01-01 18,6.1,,230.0,4.5,1013.5,
108,서울,2014-01-01 19,5.9,,230.0,3.5,1013.9,
108,서울,2014-01-01 20,5.6,,270.0,5.3,1014.5,
108,서울,2014-01-01 21,4.9,,270.0,3.5,1015.5,
108,서울,2014-01-01 22,4.3,,270.0,3.8,1016.3,
108,서울,2014-01-01 23,3.6,,270.0,3.9,1017.5,
108,서울,2014-01-02 00,2.8,,290.0,3.5,1018.3,
108,서울,2014-01-02 01,2.0,,320.0,1.8,1018.6,
108,서울,2014-01-02 02,1.0,,230.0,0.8,1019.0,
108,서울,2014-01-02 03,0.3,,320.0,0.7,1019.3,
108,서울,2014-01-02 04,0.1,,290.0,3.0,1019.8,
108,서울,2014-01-02 05,-0.5,,290.0,1.8,1020.1,
108,서울,2014-01-02 06,-0.8,,290.0,2.0,1020.8,
108,서울,2014-01-02 07,-1.1,,290.0,1.8,1021.9,
108,서울,2014-01-02 08,-1.2,,320.0,1.9,1022.4,
108,서울,2014-01-02 09,-0.9,,20.0,0.8,1022.8,
108,서울,2014-01-02 10,0.8,,290.0,3.5,1023.3,
108,서울,2014-01-02 11,2.6,,270.0,3.1,1023.6,
108,서울,2014-01-02 12,3.7,,270.0,3.0,1022.8,
108,서울,2014-01-02 13,4.9,,250.0,3.4,1022.0,
108,서울,2014-01-02 14,5.5,,270.0,2.9,1021.2,
108,서울,2014-01-02 15,5.6,,290.0,2.8,1021.1,
108,서울,2014-01-02 16,6.0,,270.0,2.0,1021.3,
108,서울,2014-01-02 17,5.0,,290.0,1.8,1021.5,
108,서울,2014-01-02 18,3.3,,270.0,1.5,1021.1,
108,서울,2014-01-02 19,2.7,,290.0,1.9,1021.4,
108,서울,2014-01-02 20,1.5,,270.0,2.0,1021.1,
108,서울,2014-01-02 21,0.9,,290.0,0.9,1021.0,
108,서울,2014-01-02 22,0.5,,270.0,1.2,1021.4,
108,서울,2014-01-02 23,0.3,,270.0,1.0,1021.3,
108,서울,2014-01-03 00,-0.1,,50.0,1.7,1020.8,
108,서울,2014-01-03 01,-0.6,,20.0,1.4,1020.9,
108,서울,2014-01-03 02,-0.5,,50.0,1.6,1020.5,
108,서울,2014-01-03 03,-0.7,,50.0,1.7,1020.5,
108,서울,2014-01-03 04,-0.8,,20.0,1.7,1019.8,
108,서울,2014-01-03 05,-0.6,,50.0,2.3,1018.8,
108,서울,2014-01-03 06,-1.0,,50.0,1.9,1018.7,
108,서울,2014-01-03 07,-0.9,,50.0,1.7,1018.3,
108,서울,2014-01-03 08,-0.7,,50.0,2.6,1018.0,
108,서울,2014-01-03 09,-0.1,,20.0,1.7,1018.2,
108,서울,2014-01-03 10,1.3,,20.0,1.1,1018.3,
108,서울,2014-01-03 11,3.0,,20.0,1.5,1018.2,
108,서울,2014-01-03 12,5.0,,230.0,1.8,1016.5,
108,서울,2014-01-03 13,6.8,,200.0,3.1,1015.6,
108,서울,2014-01-03 14,6.9,,270.0,4.0,1015.0,
108,서울,2014-01-03 15,6.6,,270.0,3.6,1014.9,
108,서울,2014-01-03 16,6.3,,270.0,2.5,1015.0,
108,서울,2014-01-03 17,6.0,,270.0,2.6,1015.5,
108,서울,2014-01-03 18,5.5,,290.0,3.4,1016.1,
108,서울,2014-01-03 19,4.7,,270.0,3.1,1016.6,
108,서울,2014-01-03 20,3.8,,320.0,3.3,1017.2,
108,서울,2014-01-03 21,2.5,,320.0,4.8,1017.7,
